HOME,38327,67950,67958,38801,67898,37112,67959,148286,164352,33657,26502,34480,38388,38389,31316,164694,30949,38378,38383,38393,38253,37069,4.7,3.3,1.7,58,59,64,64,61,62,53,56,50,63,55,67,71,71,66,67,77,61,77,76,61,56
DRAW,37900,37886,37100,37903,37889,37893,37981,131531,131530,38231,130027,38318,38247,16387,94288,94284,45832,26669,33671,163670,37945,33622,1.6,3.55,5.05,57,68,61,57,54,65,69,57,60,58,55,63,58,57,48,51,58,66,57,57,63,67
HOME,104378,38248,36841,38255,104382,33662,37044,32760,38229,39875,46335,37900,37887,37886,37903,94030,37981,131531,131530,130027,38231,75500,1.6,3.4,5.25,63,71,63,61,57,70,56,76,53,61,59,57,65,68,57,46,69,57,60,55,58,56
HOME,38318,38247,16387,94288,94284,26669,33671,163670,148336,37945,33622,38327,38801,67950,67958,164352,67898,37112,67959,148286,33657,26502,2.2,3.15,3,63,58,57,48,51,66,57,57,56,63,67,58,64,59,64,50,61,62,53,56,63,55
AWAY,38318,46580,16387,94288,94284,45832,26669,33671,163670,33622,32637,104378,38337,38255,12473,104382,33662,38233,32760,38229,12574,46335,2.85,3.25,2.2,63,59,57,48,51,58,66,57,57,67,59,63,63,61,64,57,70,63,76,53,65,59
HOME,38341,38349,21834,37953,38339,38343,30404,38353,39848,17883,50160,38318,46580,38247,16387,26669,33671,94284,163670,33622,148336,94288,1.5,3.75,5.55,60,73,52,63,62,67,79,65,66,63,62,63,59,58,57,66,57,51,57,67,56,48
HOME,13131,37988,36849,36845,38322,38371,36852,38784,38786,33622,178284,38341,38349,43049,21834,67896,37025,38343,179058,182605,39848,25619,1.75,3.5,4.1,64,71,64,63,60,77,71,62,65,67,56,60,73,64,52,61,65,67,60,59,66,58
HOME,37900,37886,37903,37889,94030,37893,37981,131531,38231,75500,104377,13131,37988,36849,36845,38322,38371,36852,38784,38786,33622,178284,1.95,3.25,3.55,57,68,57,54,46,65,69,57,58,56,63,64,71,64,63,60,77,71,62,65,67,56
DRAW,148325,25995,39580,129462,47411,32573,37262,37972,148335,156551,166302,37900,37886,37100,37903,37889,37893,37981,131531,38231,75500,104377,1.46,4,6,47,73,71,68,65,72,68,67,54,59,65,57,68,61,57,54,65,69,57,58,56,63
DRAW,131403,37047,37021,38789,104386,38357,27110,37051,78462,38251,89548,37971,39859,38441,16387,131404,38249,38257,40521,149279,78902,148315,1.9,3.3,3.65,50,63,59,68,63,70,65,58,61,69,63,63,57,58,57,59,69,62,60,55,60,56
